id,primary_type,community_area,year,latitude,longitude
22115,HOMICIDE,35,2015,41.838795341,-87.623263328
21395,HOMICIDE,27,2014,41.88358253,-87.709430008
23541,HOMICIDE,23,2017,41.891783177,-87.716699409
20962,HOMICIDE,69,2013,41.761096166,-87.623204276
23429,HOMICIDE,23,2017,41.901570034,-87.737135469
20859,HOMICIDE,29,2013,41.854302497,-87.713697274
22558,HOMICIDE,25,2016,41.897736958,-87.746849759
21118,HOMICIDE,73,2013,41.731423458,-87.65200108
22001,HOMICIDE,28,2015,41.876329051,-87.668276406
21166,HOMICIDE,56,2013,41.789786609,-87.785380558
24045,HOMICIDE,71,2018,41.738799084,-87.666788086
22217,HOMICIDE,56,2015,41.797827897,-87.756339623
21014,HOMICIDE,53,2013,41.67624381,-87.619536603
21594,HOMICIDE,41,2014,41.801442754,-87.5847444
20805,HOMICIDE,73,2013,41.72810078,-87.656762001
21612,HOMICIDE,46,2014,41.74581457,-87.550355463
21777,HOMICIDE,3,2015,41.96270134,-87.653370223
23844,HOMICIDE,46,2018,41.742424658,-87.546637154
21803,HOMICIDE,66,2015,41.764450345,-87.698320777
23494,HOMICIDE,68,2017,41.790852449,-87.634379287
21982,HOMICIDE,16,2015,41.947526838,-87.715192046
22189,HOMICIDE,68,2015,41.789658761,-87.649899666
24206,HOMICIDE,32,2018,41.875272573,-87.624251314
22881,HOMICIDE,25,2016,41.894023701,-87.74948414
22726,HOMICIDE,70,2016,41.747917322,-87.729639745
21531,HOMICIDE,67,2014,41.789919019,-87.665690403
21331,HOMICIDE,40,2014,41.785161229,-87.620603115
23319,HOMICIDE,68,2017,41.768390753,-87.63353078
22909,HOMICIDE,53,2016,41.671606006,-87.642918034
21690,HOMICIDE,43,2014,41.751640691,-87.573236987
22104,HOMICIDE,39,2015,41.814627001,-87.598890085
23247,HOMICIDE,49,2017,41.69930032,-87.618432157
21535,HOMICIDE,75,2014,41.694691709,-87.652172851
20936,HOMICIDE,19,2013,41.93386511,-87.744232931
20947,HOMICIDE,43,2013,41.75829879,-87.572473045
21220,HOMICIDE,26,2014,41.874380415,-87.723615426
20843,HOMICIDE,46,2013,41.736842677,-87.545825944
22744,HOMICIDE,46,2016,41.747543344,-87.563739255
21898,HOMICIDE,25,2015,41.886834297,-87.749046475
24256,HOMICIDE,51,2018,41.722490414,-87.573613605
21047,HOMICIDE,23,2013,41.902680409,-87.725421722
23187,HOMICIDE,77,2017,41.997125234,-87.660471875
24316,HOMICIDE,68,2018,41.764639779,-87.635866143
20892,HOMICIDE,23,2013,41.901663577,-87.718958959
21271,HOMICIDE,69,2014,41.755473435,-87.639428796
23525,HOMICIDE,51,2017,41.718237486,-87.564649421
21483,HOMICIDE,58,2014,41.812213795,-87.704136552
24050,HOMICIDE,71,2018,41.733362925,-87.665426433
21448,HOMICIDE,67,2014,41.768534413,-87.665505285
24332,HOMICIDE,43,2018,41.752921007,-87.57845525
24923,HOMICIDE,43,2018,41.767040601,-87.572659346
24335,HOMICIDE,25,2018,41.900335334,-87.764218853
22631,HOMICIDE,43,2016,41.772616417,-87.583844254
23780,HOMICIDE,43,2018,41.751897254,-87.553777728
22614,HOMICIDE,68,2016,41.784475742,-87.650981367
23471,HOMICIDE,61,2017,41.794796091,-87.674327426
24150,HOMICIDE,43,2018,41.760349572,-87.566401164
21826,HOMICIDE,42,2015,41.784744,-87.615738439
22287,HOMICIDE,27,2016,41.870920336,-87.709387935
22937,HOMICIDE,61,2016,41.807551687,-87.671016607
23883,HOMICIDE,61,2018,41.794864463,-87.671899025
22843,HOMICIDE,67,2016,41.76573639,-87.66381882
21551,HOMICIDE,23,2014,41.90131451,-87.725041634
21313,HOMICIDE,26,2014,41.876981804,-87.734011599
22124,HOMICIDE,27,2015,41.883191631,-87.706183852
21762,HOMICIDE,68,2015,41.791994694,-87.646310475
23434,HOMICIDE,45,2017,41.753236407,-87.592762763
22777,HOMICIDE,73,2016,41.731176011,-87.661712221
24083,HOMICIDE,29,2018,41.85450909,-87.723583958
20885,HOMICIDE,35,2013,41.837181118,-87.613468578
22572,HOMICIDE,67,2016,41.768562042,-87.663180931
22325,HOMICIDE,61,2016,41.807845389,-87.662514917
22612,HOMICIDE,30,2016,41.848139992,-87.69288762
21441,HOMICIDE,41,2014,41.793074427,-87.582065779
24127,HOMICIDE,14,2018,41.971930457,-87.723796532
21291,HOMICIDE,26,2014,41.869546445,-87.722846293
23127,HOMICIDE,25,2017,41.88625035,-87.75895272
22027,HOMICIDE,29,2015,41.864663432,-87.712932753
20915,HOMICIDE,45,2013,41.747721745,-87.596820484
21064,HOMICIDE,26,2013,41.878738142,-87.736650058
24032,HOMICIDE,40,2018,41.792416366,-87.624028472
23793,HOMICIDE,69,2018,41.766996182,-87.627175072
21227,HOMICIDE,46,2014,41.729357514,-87.551240409
21336,HOMICIDE,27,2014,41.872840521,-87.699720091
22046,HOMICIDE,58,2015,41.819685484,-87.701957617
23399,HOMICIDE,73,2017,41.731357924,-87.648363814
20825,HOMICIDE,63,2013,41.788363725,-87.685467199
22383,HOMICIDE,23,2016,41.895490498,-87.713104635
21213,HOMICIDE,35,2014,41.824827097,-87.613573964
21369,HOMICIDE,30,2014,41.840514398,-87.728454587
23015,HOMICIDE,36,2016,41.821626323,-87.604716779
21792,HOMICIDE,52,2015,41.696830001,-87.541349099
24242,HOMICIDE,27,2018,41.882806201,-87.704953745
23702,HOMICIDE,26,2017,41.880486258,-87.725665179
22563,HOMICIDE,26,2016,41.880517217,-87.723222927
24294,HOMICIDE,29,2018,41.86858703,-87.705735519
23826,HOMICIDE,54,2018,41.654340811,-87.604171861
21991,HOMICIDE,1,2015,42.01656745,-87.674129267
23856,HOMICIDE,30,2018,41.832802038,-87.716917256
21232,HOMICIDE,61,2014,41.801173,-87.642885948
20769,HOMICIDE,24,2013,41.899364823,-87.6881041
22757,HOMICIDE,57,2016,41.80521367,-87.73085539
23614,HOMICIDE,13,2017,41.972197342,-87.714692471
23269,HOMICIDE,58,2017,41.809290999,-87.688278848
22871,HOMICIDE,20,2016,41.916121184,-87.728968343
24229,HOMICIDE,29,2018,41.866260623,-87.71855276
22490,HOMICIDE,25,2016,41.910165043,-87.770310914
23831,HOMICIDE,55,2018,41.651431329,-87.527258234
22890,HOMICIDE,40,2016,41.801131542,-87.61772683
21353,HOMICIDE,61,2014,41.794262145,-87.648721271
22341,HOMICIDE,25,2016,41.89913742,-87.750800314
21154,HOMICIDE,67,2013,41.76039299,-87.661425975
23295,HOMICIDE,25,2017,41.886232585,-87.756503356
23945,HOMICIDE,29,2018,41.861659394,-87.731151793
21510,HOMICIDE,67,2014,41.761829562,-87.662118399
24060,HOMICIDE,25,2018,41.899276772,-87.75447959
20800,HOMICIDE,68,2013,41.768775762,-87.648695394
22790,HOMICIDE,8,2016,41.90388908,-87.632229413
22995,HOMICIDE,27,2016,41.876834002,-87.702320746
20930,HOMICIDE,47,2013,41.72853976,-87.59736201
23145,HOMICIDE,23,2017,41.909092597,-87.714938442
21640,HOMICIDE,76,2014,41.977609479,-87.846467101
20956,HOMICIDE,73,2013,41.714205528,-87.643707626
23965,HOMICIDE,32,2018,41.872795266,-87.63062334
22594,HOMICIDE,67,2016,41.769691245,-87.66152324
21977,HOMICIDE,30,2015,41.847670913,-87.706351061
20840,HOMICIDE,38,2013,41.821359386,-87.624776739
24028,HOMICIDE,57,2018,41.803639065,-87.728361417
21021,HOMICIDE,30,2013,41.839944326,-87.731729746
21103,HOMICIDE,67,2013,41.784397344,-87.670400636
20757,HOMICIDE,46,2013,41.743629649,-87.562463183
22956,HOMICIDE,25,2016,41.877556996,-87.75575519
21730,HOMICIDE,28,2015,41.882185074,-87.679713374
23535,HOMICIDE,27,2017,41.870997196,-87.701860464
21401,HOMICIDE,70,2014,41.748316128,-87.681095074
24200,HOMICIDE,35,2018,41.831385245,-87.62985824
21999,HOMICIDE,30,2015,41.839629644,-87.72928862
23924,HOMICIDE,71,2018,41.735223542,-87.643589082
21571,HOMICIDE,67,2014,41.786637777,-87.673450294
23840,HOMICIDE,68,2018,41.77598207,-87.653744026
22831,HOMICIDE,19,2015,41.922162704,-87.779310887
23452,HOMICIDE,23,2017,41.890009454,-87.706388944
21780,HOMICIDE,14,2015,41.972462991,-87.726935628
22678,HOMICIDE,27,2016,41.885386312,-87.707058453
21297,HOMICIDE,53,2014,41.6815497,-87.633096051
20902,HOMICIDE,46,2013,41.751527624,-87.582334217
22970,HOMICIDE,2,2016,41.997704063,-87.691588808
22020,HOMICIDE,49,2015,41.695615506,-87.636436642
20876,HOMICIDE,68,2013,41.778671384,-87.653264678
21004,HOMICIDE,67,2013,41.793598642,-87.669873105
23576,HOMICIDE,28,2017,41.88117946,-87.685308968
21059,HOMICIDE,53,2013,41.671664448,-87.649018991
21202,HOMICIDE,22,2013,41.923371128,-87.720624784
23469,HOMICIDE,45,2017,41.746013191,-87.58637073
21096,HOMICIDE,35,2013,41.829651528,-87.614451899
20849,HOMICIDE,25,2013,41.9007064,-87.770463805
21115,HOMICIDE,5,2013,41.959010557,-87.678899454
