school_id,school_nm,school_lat,school_long
609694,HANCOCK HS,41.7914364693,-87.7244699624
609695,AMUNDSEN HS,41.9750679335,-87.6794474519
609698,BOGAN HS,41.7494030471,-87.7210981614
609702,CRANE HS,41.8775287345,-87.6832489544
609704,FARRAGUT HS,41.8485592157,-87.708742323
609705,FENGER HS,41.689951308,-87.6375354473
609707,ROBESON HS,41.7697134171,-87.6371893707
609708,FOREMAN HS,41.939796136,-87.7542032882
609709,GAGE PARK HS,41.7910134084,-87.6889172817
609710,HARLAN HS,41.7183727976,-87.6205868148
609711,HARPER HS,41.775124657,-87.6690526439
609712,HIRSCH HS,41.7537488728,-87.6016906383
609713,HYDE PARK HS,41.782257426,-87.5865783526
609715,KELLY HS,41.8187296523,-87.6946019837
609716,KELVYN PARK HS,41.9279458399,-87.7359995214
609718,KENNEDY HS,41.7904824291,-87.7803947175
609719,LAKE VIEW HS,41.9547635347,-87.6689894456
609720,LANE HS,41.9466720152,-87.6910127407
609722,MANLEY HS,41.8709663946,-87.699896207
609723,MARSHALL HS,41.8784166477,-87.7080494804
609724,MATHER HS,41.987567237,-87.7025193438
609725,MORGAN PARK HS,41.692011124,-87.665675573
609726,BROOKS HS,41.6927350915,-87.6163519047
609727,PHILLIPS HS,41.823852531,-87.6197957427
609728,ROOSEVELT HS,41.9648004456,-87.7148181422
609729,SCHURZ HS,41.9463432311,-87.7356352653
609730,SENN HS,41.989033193,-87.6651879969
609732,STEINMETZ COLLEGE PREP HS,41.9356342063,-87.7834784904
609733,SULLIVAN HS,42.0026869262,-87.6692289258
609734,TAFT HS,41.9829335474,-87.7915467726
609735,TILDEN HS,41.807509471,-87.6430031534
609736,DYETT HS,41.8021046712,-87.6119314689
609737,VON STEUBEN HS,41.973184448,-87.7134230173
609738,LINCOLN PARK HS,41.9182675644,-87.6460460884
609739,WASHINGTON HS,41.6881643782,-87.5375700902
609740,WELLS HS,41.8989952773,-87.6674461465
609741,HUBBARD HS,41.7805269305,-87.7179770873
609744,NORTHSIDE LEARNING HS,41.982945085,-87.7223855843
609745,SOUTHSIDE HS,41.759852931,-87.675910122
609746,KENWOOD HS,41.8037718315,-87.5904575637
609748,YORK HS,41.8425338463,-87.6952243236
609749,NORTHSIDE PREP HS,41.9813147789,-87.7087445726
609750,SIMPSON HS,41.8643649239,-87.6687589322
609751,KING HS,41.8136749838,-87.6039105378
609753,CHGO AGR HS,41.6912481759,-87.71777061
609754,CHGO MILITARY ACAD HS,41.8305544189,-87.619252226
609755,YOUNG HS,41.8786020833,-87.6642700572
609756,CURIE HS,41.8030814221,-87.7220649185
609759,CLEMENTE HS,41.9026253078,-87.6869428732
609760,CARVER MILITARY,41.6562905596,-87.5905838013
609761,CORLISS HS,41.7074460753,-87.6030643541
609762,JULIAN HS,41.7058594385,-87.6537125967
609764,JUAREZ HS,41.8526670965,-87.6636957478
609766,VAUGHN HS,41.9603631731,-87.7646999302
609768,HOPE HS,41.7935651922,-87.641418583
609769,"GRAHAM,R HS",41.8496748572,-87.62535151
609772,ADDAMS,41.6987389278,-87.5329394264
609773,AGASSIZ,41.9341255571,-87.6562654054
609774,ALCOTT ES,41.9298498532,-87.6464131369
609777,ARMOUR,41.8338264797,-87.6506520971
609779,"ARMSTRONG, G",42.0101225916,-87.6844396323
609780,AMES,41.9160453776,-87.7217055909
609781,ATTUCKS,41.8021121565,-87.6258200555
609782,AUDUBON,41.945062818,-87.6810043045
609783,JEFFERSON ALT HS,41.8678330978,-87.6803808585
609786,AVALON PARK,41.7482465103,-87.5916904502
609788,BARNARD,41.7051391776,-87.6580392631
609789,BARRY,41.9325112437,-87.7393516117
609790,BARTON,41.7541944449,-87.6708904892
609791,BASS,41.7742190125,-87.6535318042
609792,BATEMAN,41.9582204771,-87.7021142077
609793,NICHOLSON TECH ACAD,41.7849435756,-87.6474162115
609794,"EDISON, T",41.9711409287,-87.7097007454
609795,"CLARK, G",41.8678117615,-87.7704542243
609796,BEAUBIEN,41.9723932569,-87.7576018013
609797,BEIDLER,41.8853484788,-87.7058553747
609798,BELDING,41.9589380489,-87.7340564892
609799,BELL,41.9495303971,-87.6859814932
609800,BENNETT,41.7104344977,-87.6174270739
609803,BLAINE,41.9507530831,-87.6649670804
609804,BOONE,42.0034120329,-87.6974260357
609805,JOPLIN,41.7493387506,-87.66940229
609806,BRADWELL,41.7543655977,-87.5571053284
609807,HAMPTON,41.7534297568,-87.7087305665
609808,HALEY,41.6866593009,-87.6336687344
609809,BRENTANO,41.9309654091,-87.6963309362
609810,BRIDGE,41.9491153742,-87.7986321844
609811,BRIGHT,41.6997265281,-87.5620476151
