school_id,school_nm,grades,sch_type,x,y,year
400130,YCCS CHTR - YOUTH DEVELOPMENT,"10, 11, 12",Alternative/Charter,-87.6416945466,41.7513776107,2013
400131,YCCS CHTR - CAMPOS,"10, 11, 12",Alternative/Charter,-87.6960063538,41.9028771381,2013
400133,YCCS CHTR - INNOVATIONS,"10, 11, 12",Alternative/Charter,-87.6319908756,41.8118176351,2013
400134,YCCS CHTR - ADDAMS,"10, 11",Alternative/Charter,-87.6448512709,41.8572081061,2013
400135,YCCS CHTR - LATINO YOUTH,"10, 11, 12",Alternative/Charter,-87.6954667067,41.8546639314,2013
400136,YCCS CHTR - OLIVE HARVEY,"10, 11",Alternative/Charter,-87.5923689168,41.7129281787,2013
400137,LITTLE BLACK PEARL,"9, 10, 11, 12",Alternative/Contract,-87.599339394,41.8096680575,2013
400139,YCCS CHTR - SULLIVAN,"10, 11, 12",Alternative/Charter,-87.5784662626,41.7463063441,2013
400141,YCCS CHTR - TRUMAN,"10, 11, 12",Alternative/Charter,-87.6592405988,41.9653222405,2013
400142,YCCS CHTR - VIRTUAL,"10, 11, 12",Alternative/Charter,-87.6741375552,41.8762892937,2013
400143,YCCS CHTR - WEST TOWN,"10, 11, 12",Alternative/Charter,-87.7020163485,41.8908064654,2013
400144,YCCS CHTR - WESTSIDE HOLISTIC,"10, 11, 12",Alternative/Charter,-87.7488106944,41.9022674733,2013
400145,YCCS CHTR - COMMUNITY ACADEMY,"10, 11, 12",Alternative/Charter,-87.6267447823,41.8320716351,2013
400146,KIPP CREATE,"5, 6",Charter,-87.7472156799,41.8922020005,2013
400147,CHICAGO EXCEL CONTR ACAD,"9, 10, 11, 12",Alternative/Contract,-87.6544645334,41.6921576421,2013
400148,INSTITUTO JUSTICE CHTR ACAD,"10, 11, 12",Alternative/Charter,-87.6840481341,41.8454216196,2013
400150,YCCS CHTR - CHATHAM,"10, 11, 12",Alternative/Charter,-87.6070165368,41.7301309334,2013
400151,LEARN CHTR - 7,"K, 1, 2, 3",Charter,-87.7021658512,41.8875163602,2013
400153,UNO CHTR - IMMACULATE CONCEPTION,"K, 1, 2, 3, 4, 5, 6, 7",Charter,-87.6932017107,41.8131100189,2013
400156,NOBLE STREET CHTR - PULLMAN COLLEGE PREP,9,Charter,-87.6030643541,41.7074460753,2013
400157,NOBLE STREET CHTR - BAKER COLLEGE PREP,9,Charter,-87.5577592347,41.7337060939,2013
400159,CHRISTOPHER HOUSE CHTR SCHOOL,"K, 1",Charter,-87.7575220524,41.922208595,2013
400161,CHICAGO COLLEGIATE CHTR SCHOOL,"4, 5",Charter,-87.6179312732,41.6793190031,2013
400162,INTRINSIC SCHOOLS,9,Charter,-87.6277730486,41.8824467607,2013
400163,KIPP BLOOM CHTR CAMPUS,5,Charter,-87.641418583,41.7935651922,2013
